"","Country","date","total_cases","new_cases","total_cases_per_million","new_cases_per_million","total_deaths","new_deaths","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","population_size","hospital_beds_per_100k","Obesity_rate","Median_Age","gdp_estimate_ppp","age_adjusted_risk","area","Density_km","Inequality_spatial_transformed","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","StringencyIndex","LegacyStringencyIndex","days_since_outbreak","days_since_deaths_crossed_0.1_per_million","days_since_10_deaths","gov_response_at_0.1_deaths_per_million","deaths_5_day_averages","infections_5_day_averages","peak_deaths_already_occurred_indicator","peak_cases_already_occurred_indicator"
"5939","Kyrgyzstan",2020-05-06,871,28,133.503,4.292,12,1,1.839,0.153,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,34,3,87.31,0.1226,3.832,1,0
"5940","Kyrgyzstan",2020-05-07,895,24,137.182,3.679,12,0,1.839,0,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,87.31,88.81,49,35,4,87.31,0.1226,3.8628,1,0
"5941","Kyrgyzstan",2020-05-08,906,11,138.868,1.686,12,0,1.839,0,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.31,88.81,50,36,5,87.31,0.0612,3.403,1,0
"5942","Kyrgyzstan",2020-05-09,931,25,142.7,3.832,12,0,1.839,0,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.31,88.81,51,37,6,87.31,0.0612,3.0964,1,0
"5943","Kyrgyzstan",2020-05-10,1002,71,153.582,10.883,12,0,1.839,0,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.31,88.81,52,38,7,87.31,0.0306,4.8744,1,0
"5944","Kyrgyzstan",2020-05-11,1016,14,155.728,2.146,12,0,1.839,0,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.31,88.81,53,39,8,87.31,1.11022302462516e-17,4.4452,1,0
"5945","Kyrgyzstan",2020-05-12,1037,21,158.947,3.219,12,0,1.839,0,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.31,88.81,54,40,9,87.31,1.11022302462516e-17,4.3532,1,0
"5946","Kyrgyzstan",2020-05-13,1044,7,160.02,1.073,12,0,1.839,0,NA,NA,NA,NA,6524191,4.5,16.6,27.3,4192.976,18.786425840286,1.9954e+11,31.99141689,6.36142994792387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.31,88.81,55,41,10,87.31,1.11022302462516e-17,4.2306,1,0
"5947","Latvia",2020-03-03,1,1,0.53,0.53,0,0,0,0,204,41,0.108,0.022,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-32,-51,NA,0,0.53,1,1
"5948","Latvia",2020-03-08,2,1,1.06,0.53,0,0,0,0,343,22,0.182,0.012,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-27,-46,NA,0,0.53,1,1
"5949","Latvia",2020-03-09,3,1,1.59,0.53,0,0,0,0,391,48,0.207,0.025,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-26,-45,NA,0,0.53,1,1
